host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
epinephelus lanceolatus x epinephelus fuscoguttatus		gut	Animal-associated	Aquatic	Fish	Intestinal
eptatretus sp. nan-hai		gut of hagfish from deep-sea	Animal-associated	Aquatic	Fish	Intestinal
etmopterus lucifer		gut content	Animal-associated	Aquatic	Fish	Intestinal
fish		fish gut	Animal-associated	Aquatic	Fish	Intestinal
fish		fish intestine	Animal-associated	Aquatic	Fish	Intestinal
fish		fish intestine	Animal-associated	Aquatic	Fish	Intestinal
fish		gastrointesinal	Animal-associated	Aquatic	Fish	Intestinal
fish		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
fish		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
fish		gut	Animal-associated	Aquatic	Fish	Intestinal
fish		intestinal contents	Animal-associated	Aquatic	Fish	Intestinal
fish		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
fish		intestine	Animal-associated	Aquatic	Fish	Intestinal
fish		intestines	Animal-associated	Aquatic	Fish	Intestinal
glyptothorax fokiensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
glyptothorax sinensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
gnathopogon elongatus		intestine	Animal-associated	Aquatic	Fish	Intestinal
gnathopogon herzensteini		fish gut	Animal-associated	Aquatic	Fish	Intestinal
gnathopogon imberbis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
grass carp		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
grass carp		intestines	Animal-associated	Aquatic	Fish	Intestinal
gymnocypris eckloni		fish gut	Animal-associated	Aquatic	Fish	Intestinal
gymnocypris potanini		fish gut	Animal-associated	Aquatic	Fish	Intestinal
gymnodiptychus pachycheilus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemibagrus macropterus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemibarbus labeo		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemibarbus maculatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemiculter bleekeri		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemiculter leucisculus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemiculter tchangi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hemiculterella sauvagei		fish gut	Animal-associated	Aquatic	Fish	Intestinal
homatula potanini		fish gut	Animal-associated	Aquatic	Fish	Intestinal
homatula variegata		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hypophthalmichthys molitrix		fish gut	Animal-associated	Aquatic	Fish	Intestinal
hypophthalmichthys nobilis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
ictalurus punctatus		gastrointestinal tract-fecal material	Animal-associated	Aquatic	Fish	Intestinal
ictalurus punctatus		gut of diseased catfish	Animal-associated	Aquatic	Fish	Intestinal
ictalurus punctatus		gut of healthy catfish	Animal-associated	Aquatic	Fish	Intestinal
ictalurus punctatus x i. furcatus		digesta	Animal-associated	Aquatic	Fish	Intestinal
intestine of yellow catfish			Animal-associated	Aquatic	Fish	Intestinal
jinshaia sinensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
kyphosus sydneyanus		hindgut (section iv)	Animal-associated	Aquatic	Fish	Intestinal
kyphosus sydneyanus		hindgut chamber (section v)	Animal-associated	Aquatic	Fish	Intestinal
kyphosus sydneyanus		kyphosus sydneyanus hindgut	Animal-associated	Aquatic	Fish	Intestinal
labeo rohita		gut	Animal-associated	Aquatic	Fish	Intestinal
labeo rohita		gut of rohu	Animal-associated	Aquatic	Fish	Intestinal
leiocassis longirostris		fish gut	Animal-associated	Aquatic	Fish	Intestinal
lepidocephalichthys guntea		fish gut	Animal-associated	Aquatic	Fish	Intestinal
lepidocephalichthys guntea		fish gut	Animal-associated	Aquatic	Fish	Intestinal
leporinus sp.		gut	Animal-associated	Aquatic	Fish	Intestinal
leptobotia elongata		fish gut	Animal-associated	Aquatic	Fish	Intestinal
liobagrus marginatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
luciobarbus capito		fish gut	Animal-associated	Aquatic	Fish	Intestinal
malacosteus niger		intestine	Animal-associated	Aquatic	Fish	Intestinal
mastacembelus		gut contents of mastacembelus	Animal-associated	Aquatic	Fish	Intestinal
megalobrama amblycephala		fish gut	Animal-associated	Aquatic	Fish	Intestinal
megalobrama pellegrini		fish gut	Animal-associated	Aquatic	Fish	Intestinal
micropterus salmoides		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
micropterus salmoides		gut	Animal-associated	Aquatic	Fish	Intestinal
misgurnus anguillicaudatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
missing	missing	fish intestine	Animal-associated	Aquatic	Fish	Intestinal
missing	missing	intesting, herring	Animal-associated	Aquatic	Fish	Intestinal
missing		fish intestine	Animal-associated	Aquatic	Fish	Intestinal
missing		fish intestine	Animal-associated	Aquatic	Fish	Intestinal
myxocyprinus asiaticus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
naso tonganus		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
odontesthes bonariensis		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
olive flounder		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
oncorhynchus mykiss	lactococcosis	intestine	Animal-associated	Aquatic	Fish	Intestinal
oncorhynchus mykiss		intestinal content of rainbow trout reared in puerto montt	Animal-associated	Aquatic	Fish	Intestinal
onychostoma macrolepis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
onychostoma simum		fish gut	Animal-associated	Aquatic	Fish	Intestinal
opsariichthys bidens		fish gut	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus	streptococcosis	intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus		intestinal contents grown in a bioreactor with tryptic soy broth	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus		intestines	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus		tilapia intestine	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus		tilipia intestine	Animal-associated	Aquatic	Fish	Intestinal
oreochromis niloticus (nile tilapia)		gut	Animal-associated	Aquatic	Fish	Intestinal
parabotia bimaculata		fish gut	Animal-associated	Aquatic	Fish	Intestinal
parabotia fasciatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
paramisgurnus dabryanus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
parotocinclus maculicauda		gut	Animal-associated	Aquatic	Fish	Intestinal
perca fluviatilis		european perch intestine	Animal-associated	Aquatic	Fish	Intestinal
perca fluviatilis l.		european perch intestine	Animal-associated	Aquatic	Fish	Intestinal
percocypris pingi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
platichthys stellatus		intestine of platichthys stellatus	Animal-associated	Aquatic	Fish	Intestinal
platysmacheilus nudiventris		fish gut	Animal-associated	Aquatic	Fish	Intestinal
poecilia reticulata		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
procypris rabaudi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
psenopsis anomala		intestinal tract	Animal-associated	Aquatic	Fish	Intestinal
pseudobagrus truncatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
pseudobrama simoni		fish gut	Animal-associated	Aquatic	Fish	Intestinal
pseudogyrinocheilus prochilus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
pseudolaubuca sinensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
pterophyllum scalare		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
pterygoplichthys gibbiceps		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
puffer fish		gut	Animal-associated	Aquatic	Fish	Intestinal
puffer fish		intestine	Animal-associated	Aquatic	Fish	Intestinal
puffer fish		intestine	Animal-associated	Aquatic	Fish	Intestinal
puffer fish		puffer fish intestine	Animal-associated	Aquatic	Fish	Intestinal
puffer fish		puffer fish intestine	Animal-associated	Aquatic	Fish	Intestinal
pufferfish		intestine	Animal-associated	Aquatic	Fish	Intestinal
pufferfish		intestine	Animal-associated	Aquatic	Fish	Intestinal
pufferfish		the gut of pufferfish	Animal-associated	Aquatic	Fish	Intestinal
rhinogobio cylindricus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
rhinogobio typus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
rhinogobius cliffordpopei		fish gut	Animal-associated	Aquatic	Fish	Intestinal
rubricatochromis guttatus		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
saurogobio punctatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizopyge dolichonema		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizopygopsis malacanthus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizopygopsis pylzovi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizopygopsis selincuoensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizothorax kozlovi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizothorax sinensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
schizothorax wangchiachii		fish gut	Animal-associated	Aquatic	Fish	Intestinal
scomber scombrus		gut contents	Animal-associated	Aquatic	Fish	Intestinal
scomber scombrus		gut contents of wild atlantic mackerel (scomber scombrus)	Animal-associated	Aquatic	Fish	Intestinal
scomber scombrus		mackerel intestinal sample	Animal-associated	Aquatic	Fish	Intestinal
sillago japonica		intestinal tract of fish	Animal-associated	Aquatic	Fish	Intestinal
silurus asotus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
simenchelys parasitica		intestine	Animal-associated	Aquatic	Fish	Intestinal
sinibrama melrosei		fish gut	Animal-associated	Aquatic	Fish	Intestinal
sinibrama taeniatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
siniperca chuatsi		intestinal contents	Animal-associated	Aquatic	Fish	Intestinal
siniperca knerii		fish gut	Animal-associated	Aquatic	Fish	Intestinal
sinocyclocheilus guilinensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
sinogastromyzon sichangensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
spinibarbus sinensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
spotted tilapia (channel catfish)	diseased	liver, kidney, spleen, gills, and intestines	Animal-associated	Aquatic	Fish	Tissues
squalidus argentatus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
symphysodon aequifasciata		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
tachysurus crassilabris		fish gut	Animal-associated	Aquatic	Fish	Intestinal
tachysurus fulvidraco		fish gut	Animal-associated	Aquatic	Fish	Intestinal
tachysurus nitidus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
tachysurus vachellii		fish gut	Animal-associated	Aquatic	Fish	Intestinal
takifugu obscurus		gut	Animal-associated	Aquatic	Fish	Intestinal
tanakia koreensis		gut of a korean oily bitterling	Animal-associated	Aquatic	Fish	Intestinal
tansgenetic fish species		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
trichiurus haumela		gastrointestinal tract	Animal-associated	Aquatic	Fish	Intestinal
triplophysa bleekeri		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa daqiaoensis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa leptosoma		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa orientalis		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa pappenheimi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa pseudoscleroptera		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa siluroides		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa stenura		fish gut	Animal-associated	Aquatic	Fish	Intestinal
triplophysa stolickai		fish gut	Animal-associated	Aquatic	Fish	Intestinal
wild bass		intestines	Animal-associated	Aquatic	Fish	Intestinal
xenocypris davidi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
xenocypris fangi		fish gut	Animal-associated	Aquatic	Fish	Intestinal
xenophysogobio boulengeri		fish gut	Animal-associated	Aquatic	Fish	Intestinal
xiphophorus helleri		internal organs	Animal-associated	Aquatic	Fish	Meat/Organ
zacco platypus		fish gut	Animal-associated	Aquatic	Fish	Intestinal
		carp intestinal	Animal-associated	Aquatic	Fish	Intestinal
		fish gut	Animal-associated	Aquatic	Fish	Intestinal
		fish gut	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: acrossocheilus yunnanensis;onychostoma simum;ageneiogarra imberba;hemibagrus macropterus;acrossocheilus monticola;siniperca knerii;rhinogobio typus;tachysurus crassilabris;spinibarbus sinensis;platysmacheilus nudiventris;hemibarbus labeo;carassius auratus;sinogastromyzon sichangensis;tachysurus vachellii;tachysurus fulvidraco;hemiculter leucisculus;hemiculter tchangi;saurogobio punctatus;squalidus argentatus;silurus asotus;pseudobagrus truncatus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: barbodes semifasciolatus;rasbora steineri;sinibrama melrosei;culter alburnus;oreochromis niloticus;pseudobagrus tenuifurcatus;carassius auratus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: ctenopharyngodon idella;carassius auratus;cyprinus carpio;silurus meridionalis	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: ctenopharyngodon idella;silurus meridionalis;carassius auratus;ameiurus nebulosus;hemiculter tchangi;hemibarbus maculatus;luciobarbus capito	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: culter oxycephaloides;silurus asotus;xenocypris davidi;xenocypris fangi;distoechodon tumirostris	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: cyprinus carpio;ameiurus nebulosus;sinibotia reevesae	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: cyprinus carpio;opsariichthys bidens;silurus asotus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: distoechodon tumirostris;silurus asotus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: leiocassis longirostris;culter alburnus;hemiculter tchangi;ancherythroculter wangi;tachysurus nitidus;siniperca knerii;myxocyprinus asiaticus;pseudolaubuca sinensis;pseudobrama simoni;hypophthalmichthys nobilis;hypophthalmichthys molitrix;megalobrama amblycephala;chanodichthys dabryi;ancherythroculter nigrocauda;coreius heterodon;coreius guichenoti;gnathopogon imberbis;siniperca chuatsi;liobagrus nigricauda;rhinogobius similis;silurus meridionalis	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: leptobotia elongata;gymnocypris potanini;pseudorasbora parva	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: parabotia bimaculata;squalidus argentatus;sarcocheilichthys nigripinnis;pseudobagrus pratti;pseudobagrus truncatus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: paramisgurnus dabryanus;triplophysa bleekeri;claea dabryi;gymnocypris potanini	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: percocypris pingi;hemiculterella sauvagei;rhinogobius similis;discogobio yunnanensis;pseudogyrinocheilus prochilus;glyptothorax fokiensis;hemiculter leucisculus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: procypris rabaudi;hemiculterella sauvagei;pseudogyrinocheilus prochilus;acrossocheilus yunnanensis;onychostoma simum;ageneiogarra imberba;homatula variegata;carassius auratus;tachysurus fulvidraco;pseudorasbora parva;zacco platypus;opsariichthys bidens;saurogobio dabryi;glyptothorax sinensis;jinshaia sinensis;paramisgurnus dabryanus	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: procypris rabaudi;onychostoma simum;siniperca knerii	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: procypris rabaudi;saurogobio dabryi;cyprinus carpio;rhodeus ocellatus;sarcocheilichthys nigripinnis;hemiculter tchangi;tachysurus nitidus;parabotia bimaculata	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: schizothorax dolichonema;euchiloglanis kishinouyei	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: schizothorax wangchiachii;glyptothorax fokiensis;rhinogobius similis;percocypris pingi;gnathopogon imberbis;schizothorax kozlovi	Animal-associated	Aquatic	Fish	Intestinal
		fish gut; co-assembled from multi-host: silurus asotus;liobagrus marginatus;hypophthalmichthys nobilis;rhinogobius cliffordpopei;glyptothorax sinensis;cyprinus carpio;culter alburnus	Animal-associated	Aquatic	Fish	Intestinal
